country,year,value
Australia,2000,26.596612
Australia,2001,23.070763
Australia,2002,23.507561
Australia,2003,23.94136
Australia,2004,23.88431
Australia,2005,24.218502
Australia,2006,23.978454
Australia,2007,23.359245
Australia,2008,22.547911
Australia,2009,22.057972
Australia,2010,22.282927
Australia,2011,22.272928
Australia,2012,22.952915
Australia,2013,23.103308
Australia,2014,23.355111
Australia,2015,24.068137
Australia,2016,24.308207
Australia,2017,24.356725
Australia,2018,24.645486
Australia,2019,23.638534
Australia,2020,24.079812
Australia,2021,23.223937
Australia,2022,22.996077
Austria,2000,30.963729
Austria,2001,31.393693
Austria,2002,31.603978
Austria,2003,31.996964
Austria,2004,33.222679
Austria,2005,33.038171
Austria,2006,33.439199
Austria,2007,33.835085
Austria,2008,34.263553
Austria,2009,32.786954
Austria,2010,33.071075
Austria,2011,33.550145
Austria,2012,33.937322
Austria,2013,34.381713
Austria,2014,34.681248
Austria,2015,35.040655
Austria,2016,32.10617
Austria,2017,32.430503
Austria,2018,32.790136
Austria,2019,33.209427
Austria,2020,32.706375
Austria,2021,33.173103
Austria,2022,33.187619
Belgium,2000,43.007566
Belgium,2001,42.963909
Belgium,2002,42.655726
Belgium,2003,41.985724
Belgium,2004,41.912911
Belgium,2005,41.991336
Belgium,2006,41.92159
Belgium,2007,42.065326
Belgium,2008,42.490295
Belgium,2009,42.291413
Belgium,2010,42.718262
Belgium,2011,42.826743
Belgium,2012,42.711272
Belgium,2013,42.400234
Belgium,2014,42.3566
Belgium,2015,42.009104
Belgium,2016,40.735965
Belgium,2017,40.583742
Belgium,2018,39.889083
Belgium,2019,39.359406
Belgium,2020,39.299145
Belgium,2021,39.479517
Belgium,2022,40.348527
Canada,2000,26.931846
Canada,2001,25.42703
Canada,2002,25.327466
Canada,2003,25.342781
Canada,2004,25.580223
Canada,2005,25.800946
Canada,2006,25.915323
Canada,2007,25.515911
Canada,2008,25.541083
Canada,2009,25.284098
Canada,2010,24.978532
Canada,2011,24.999532
Canada,2012,24.891957
Canada,2013,25.039644
Canada,2014,25.271235
Canada,2015,25.282367
Canada,2016,24.747287
Canada,2017,24.623659
Canada,2018,24.630698
Canada,2019,24.60624
Canada,2020,25.072216
Canada,2021,25.303261
Canada,2022,25.603836
Czechia,2000,22.490772
Czechia,2001,22.493797
Czechia,2002,23.016582
Czechia,2003,23.337174
Czechia,2004,23.749761
Czechia,2005,24.034239
Czechia,2006,22.410384
Czechia,2007,22.892411
Czechia,2008,23.639452
Czechia,2009,22.287958
Czechia,2010,22.454587
Czechia,2011,23.09385
Czechia,2012,22.88843
Czechia,2013,22.871238
Czechia,2014,23.103091
Czechia,2015,23.352607
Czechia,2016,23.678628
Czechia,2017,24.149435
Czechia,2018,24.61348
Czechia,2019,25.020007
Czechia,2020,25.205077
Czechia,2021,19.698272
Czechia,2022,19.476923
Denmark,2000,41.454608
Denmark,2001,40.637426
Denmark,2002,39.966891
Denmark,2003,39.957662
Denmark,2004,38.60587
Denmark,2005,38.48639
Denmark,2006,38.58812
Denmark,2007,38.765757
Denmark,2008,38.584203
Denmark,2009,37.188637
Denmark,2010,36.285269
Denmark,2011,36.418995
Denmark,2012,36.487655
Denmark,2013,36.12487
Denmark,2014,35.959236
Denmark,2015,36.129014
Denmark,2016,36.10596
Denmark,2017,36.034033
Denmark,2018,35.551384
Denmark,2019,35.596262
Denmark,2020,35.391578
Denmark,2021,35.468349
Denmark,2022,35.542477
Finland,2000,33.880178
Finland,2001,32.616036
Finland,2002,32.073611
Finland,2003,31.508187
Finland,2004,30.837468
Finland,2005,31.045475
Finland,2006,30.587988
Finland,2007,30.413241
Finland,2008,30.359145
Finland,2009,29.269925
Finland,2010,29.423682
Finland,2011,29.374247
Finland,2012,29.37745
Finland,2013,30.138411
Finland,2014,30.588748
Finland,2015,30.853544
Finland,2016,30.780489
Finland,2017,30.248284
Finland,2018,30.347114
Finland,2019,30.318237
Finland,2020,30.969408
Finland,2021,31.316567
Finland,2022,31.123572
France,2000,29.15771
France,2001,28.84194
France,2002,28.437236
France,2003,28.54424
France,2004,28.628794
France,2005,28.869892
France,2006,27.713788
France,2007,27.761085
France,2008,27.784969
France,2009,27.845117
France,2010,27.847699
France,2011,27.931896
France,2012,28.121859
France,2013,28.257742
France,2014,28.619674
France,2015,29.009213
France,2016,29.027866
France,2017,28.985383
France,2018,28.419659
France,2019,28.008018
France,2020,27.065933
France,2021,27.567047
France,2022,27.654273
Germany,2000,43.200817
Germany,2001,42.02691
Germany,2002,42.660082
Germany,2003,43.367702
Germany,2004,42.276745
Germany,2005,42.214225
Germany,2006,42.514887
Germany,2007,42.157918
Germany,2008,41.849988
Germany,2009,41.205296
Germany,2010,39.203424
Germany,2011,39.750485
Germany,2012,39.798164
Germany,2013,39.48549
Germany,2014,39.544437
Germany,2015,39.680032
Germany,2016,39.73738
Germany,2017,39.736953
Germany,2018,39.679015
Germany,2019,39.215714
Germany,2020,38.641284
Germany,2021,37.783712
Germany,2022,37.975497
Greece,2000,21.59662
Greece,2001,20.833003
Greece,2002,22.132189
Greece,2003,22.782792
Greece,2004,24.612553
Greece,2005,24.712927
Greece,2006,25.922728
Greece,2007,25.673223
Greece,2008,24.95818
Greece,2009,24.657644
Greece,2010,23.135232
Greece,2011,26.560352
Greece,2012,26.479309
Greece,2013,24.908666
Greece,2014,24.630775
Greece,2015,23.745872
Greece,2016,25.090019
Greece,2017,25.183527
Greece,2018,25.466727
Greece,2019,25.527343
Greece,2020,23.93875
Greece,2021,22.918209
Greece,2022,22.984241
Hungary,2000,35.726396
Hungary,2001,38.343829
Hungary,2002,36.488408
Hungary,2003,32.95859
Hungary,2004,34.398992
Hungary,2005,33.649061
Hungary,2006,35.241965
Hungary,2007,38.808261
Hungary,2008,38.260678
Hungary,2009,37.760218
Hungary,2010,31.387504
Hungary,2011,35.098861
Hungary,2012,35.132934
Hungary,2013,34.5
Hungary,2014,34.5
Hungary,2015,34.5
Hungary,2016,33.5
Hungary,2017,33.5
Hungary,2018,33.5
Hungary,2019,33.5
Hungary,2020,33.5
Hungary,2021,33.5
Hungary,2022,33.5
Iceland,2000,25.438707
Iceland,2001,25.641928
Iceland,2002,27.247001
Iceland,2003,27.593595
Iceland,2004,28.030967
Iceland,2005,28.158699
Iceland,2006,27.809316
Iceland,2007,26.83066
Iceland,2008,27.248707
Iceland,2009,26.238675
Iceland,2010,27.5988
Iceland,2011,28.378515
Iceland,2012,28.672475
Iceland,2013,29.053343
Iceland,2014,28.912259
Iceland,2015,29.354414
Iceland,2016,29.043671
Iceland,2017,28.312412
Iceland,2018,28.371204
Iceland,2019,28.303713
Iceland,2020,28.228341
Iceland,2021,28.219393
Iceland,2022,28.197367
Ireland,2000,27.54958
Ireland,2001,23.515029
Ireland,2002,21.907722
Ireland,2003,22.93657
Ireland,2004,23.553583
Ireland,2005,22.82663
Ireland,2006,21.500277
Ireland,2007,20.345914
Ireland,2008,20.451767
Ireland,2009,22.273497
Ireland,2010,23.444077
Ireland,2011,25.314449
Ireland,2012,25.814607
Ireland,2013,26.749803
Ireland,2014,26.939143
Ireland,2015,26.040752
Ireland,2016,25.419829
Ireland,2017,25.332762
Ireland,2018,25.621254
Ireland,2019,25.988631
Ireland,2020,26.730926
Ireland,2021,27.291054
Ireland,2022,27.506849
Italy,2000,29.045019
Italy,2001,28.472861
Italy,2002,28.868803
Italy,2003,28.101708
Italy,2004,28.513604
Italy,2005,28.009731
Italy,2006,28.748655
Italy,2007,29.18973
Italy,2008,29.52948
Italy,2009,29.721882
Italy,2010,30.229884
Italy,2011,30.785458
Italy,2012,30.952168
Italy,2013,31.105634
Italy,2014,31.029057
Italy,2015,31.09126
Italy,2016,31.112215
Italy,2017,31.135488
Italy,2018,31.222739
Italy,2019,31.460432
Italy,2020,30.135067
Italy,2021,28.192353
Italy,2022,28.806391
Japan,2000,19.743566
Japan,2001,19.796777
Japan,2002,19.983238
Japan,2003,18.217154
Japan,2004,18.234211
Japan,2005,18.497657
Japan,2006,19.439642
Japan,2007,20.15121
Japan,2008,20.240686
Japan,2009,20.044061
Japan,2010,20.629316
Japan,2011,21.030645
Japan,2012,21.342117
Japan,2013,21.523032
Japan,2014,21.843162
Japan,2015,22.106945
Japan,2016,22.226413
Japan,2017,22.263688
Japan,2018,22.359012
Japan,2019,22.374172
Japan,2020,22.228548
Japan,2021,22.233671
Japan,2022,22.304193
Korea,2000,8.94994
Korea,2001,9.17101
Korea,2002,8.905467
Korea,2003,9.273762
Korea,2004,9.758422
Korea,2005,9.883683
Korea,2006,10.616868
Korea,2007,12.063981
Korea,2008,12.1275
Korea,2009,11.676676
Korea,2010,12.278179
Korea,2011,11.919504
Korea,2012,12.453207
Korea,2013,12.886089
Korea,2014,13.036572
Korea,2015,13.324705
Korea,2016,13.700027
Korea,2017,13.93241
Korea,2018,14.37837
Korea,2019,14.787448
Korea,2020,15.106601
Korea,2021,15.536813
Korea,2022,15.844083
Luxembourg,2000,28.666121
Luxembourg,2001,27.160991
Luxembourg,2002,23.982673
Luxembourg,2003,24.572709
Luxembourg,2004,25.028524
Luxembourg,2005,25.888584
Luxembourg,2006,26.572716
Luxembourg,2007,27.697209
Luxembourg,2008,27.392783
Luxembourg,2009,26.24065
Luxembourg,2010,26.767409
Luxembourg,2011,28.408934
Luxembourg,2012,28.124654
Luxembourg,2013,29.531952
Luxembourg,2014,30.000944
Luxembourg,2015,30.841086
Luxembourg,2016,31.023718
Luxembourg,2017,29.014746
Luxembourg,2018,29.580826
Luxembourg,2019,29.961286
Luxembourg,2020,31.121448
Luxembourg,2021,31.41502
Luxembourg,2022,32.127075
Mexico,2000,2.482772
Mexico,2001,3.093333
Mexico,2002,4.299126
Mexico,2003,4.784688
Mexico,2004,5.275596
Mexico,2005,4.670232
Mexico,2006,5.030988
Mexico,2007,6.036824
Mexico,2008,5.182708
Mexico,2009,5.445973
Mexico,2010,6.12591
Mexico,2011,9.249616
Mexico,2012,9.560453
Mexico,2013,9.838103
Mexico,2014,10.139946
Mexico,2015,10.442526
Mexico,2016,10.753246
Mexico,2017,11.12821
Mexico,2018,10.356917
Mexico,2019,10.94256
Mexico,2020,11.248327
Mexico,2021,11.263839
Mexico,2022,11.278545
Netherlands,2000,33.619155
Netherlands,2001,30.629323
Netherlands,2002,30.646604
Netherlands,2003,31.127655
Netherlands,2004,32.551737
Netherlands,2005,32.511263
Netherlands,2006,32.492559
Netherlands,2007,32.472075
Netherlands,2008,32.840035
Netherlands,2009,31.793911
Netherlands,2010,31.656734
Netherlands,2011,31.703928
Netherlands,2012,32.006195
Netherlands,2013,34.844855
Netherlands,2014,32.432452
Netherlands,2015,30.255342
Netherlands,2016,30.216083
Netherlands,2017,30.331604
Netherlands,2018,30.532698
Netherlands,2019,29.389764
Netherlands,2020,28.453901
Netherlands,2021,27.673039
Netherlands,2022,27.743444
New Zealand,2000,19.367838
New Zealand,2001,19.36221
New Zealand,2002,19.416535
New Zealand,2003,19.459168
New Zealand,2004,19.713631
New Zealand,2005,20.032028
New Zealand,2006,20.439708
New Zealand,2007,21.075868
New Zealand,2008,20.511511
New Zealand,2009,18.073907
New Zealand,2010,16.991699
New Zealand,2011,15.900699
New Zealand,2012,16.459485
New Zealand,2013,16.941066
New Zealand,2014,17.313243
New Zealand,2015,17.632008
New Zealand,2016,18.002131
New Zealand,2017,18.285249
New Zealand,2018,18.609475
New Zealand,2019,18.950626
New Zealand,2020,19.260547
New Zealand,2021,19.417348
New Zealand,2022,20.136624
Norway,2000,30.697523
Norway,2001,31.443851
Norway,2002,30.791699
Norway,2003,30.163239
Norway,2004,30.089188
Norway,2005,29.023742
Norway,2006,29.092233
Norway,2007,29.541885
Norway,2008,29.598011
Norway,2009,29.278337
Norway,2010,29.264825
Norway,2011,29.393298
Norway,2012,29.205443
Norway,2013,29.209978
Norway,2014,28.701683
Norway,2015,28.450366
Norway,2016,27.909403
Norway,2017,27.541322
Norway,2018,27.403907
Norway,2019,27.285776
Norway,2020,27.472253
Norway,2021,27.286378
Norway,2022,27.348896
Poland,2000,27.804217
Poland,2001,27.662878
Poland,2002,27.590122
Poland,2003,27.842343
Poland,2004,28.084502
Poland,2005,28.377936
Poland,2006,28.710367
Poland,2007,27.785682
Poland,2008,25.040234
Poland,2009,24.387427
Poland,2010,24.48781
Poland,2011,24.614558
Poland,2012,24.689936
Poland,2013,24.758744
Poland,2014,24.881624
Poland,2015,24.944558
Poland,2016,25.00142
Poland,2017,25.109785
Poland,2018,25.217764
Poland,2019,24.988389
Poland,2020,24.13379
Poland,2021,24.192709
Poland,2022,22.751944
Portugal,2022,28.139562
Portugal,2000,22.448104
Portugal,2001,21.340733
Portugal,2002,22.744707
Portugal,2003,22.493616
Portugal,2004,22.532698
Portugal,2005,21.785167
Portugal,2006,22.685766
Portugal,2007,22.4402
Portugal,2008,21.971795
Portugal,2009,21.464629
Portugal,2010,22.20025
Portugal,2011,23.27616
Portugal,2012,22.781514
Portugal,2013,27.434989
Portugal,2014,27.146663
Portugal,2015,28.372136
Portugal,2016,27.606825
Portugal,2017,27.473848
Portugal,2018,26.861778
Portugal,2019,27.437807
Portugal,2020,27.59915
Portugal,2021,28.066891
Slovak Republic,2000,20.157431
Slovak Republic,2001,21.218133
Slovak Republic,2002,20.527443
Slovak Republic,2003,21.109901
Slovak Republic,2004,22.306254
Slovak Republic,2005,22.210866
Slovak Republic,2006,22.476963
Slovak Republic,2007,22.567547
Slovak Republic,2008,23.047542
Slovak Republic,2009,21.599161
Slovak Republic,2010,21.880299
Slovak Republic,2011,23.044621
Slovak Republic,2012,23.016884
Slovak Republic,2013,22.964098
Slovak Republic,2014,23.120222
Slovak Republic,2015,23.274427
Slovak Republic,2016,23.46322
Slovak Republic,2017,23.701132
Slovak Republic,2018,24.011485
Slovak Republic,2019,24.166733
Slovak Republic,2020,23.603423
Slovak Republic,2021,23.916987
Slovak Republic,2022,24.254319
Spain,2000,19.847808
Spain,2001,20.148549
Spain,2002,20.466488
Spain,2003,19.787949
Spain,2004,20.085827
Spain,2005,20.292946
Spain,2006,20.480578
Spain,2007,20.591617
Spain,2008,19.29529
Spain,2009,19.796526
Spain,2010,21.730763
Spain,2011,22.0407
Spain,2012,22.859012
Spain,2013,22.917973
Spain,2014,22.990196
Spain,2015,21.266679
Spain,2016,21.25348
Spain,2017,21.096732
Spain,2018,21.259164
Spain,2019,21.290233
Spain,2020,20.72853
Spain,2021,21.406826
Spain,2022,21.390451
Sweden,2000,33.725876
Sweden,2001,32.393592
Sweden,2002,30.626453
Sweden,2003,31.238767
Sweden,2004,31.520744
Sweden,2005,31.188113
Sweden,2006,30.884301
Sweden,2007,27.595912
Sweden,2008,26.918887
Sweden,2009,25.397816
Sweden,2010,24.77051
Sweden,2011,24.846336
Sweden,2012,24.900505
Sweden,2013,25.104967
Sweden,2014,24.385087
Sweden,2015,24.581447
Sweden,2016,24.884049
Sweden,2017,25.003155
Sweden,2018,25.078144
Sweden,2019,24.544028
Sweden,2020,24.633013
Sweden,2021,24.401817
Sweden,2022,24.265305
Switzerland,2000,17.819867
Switzerland,2001,17.845468
Switzerland,2002,17.834189
Switzerland,2003,17.538058
Switzerland,2004,17.497956
Switzerland,2005,17.509985
Switzerland,2006,17.398632
Switzerland,2007,17.695499
Switzerland,2008,17.129386
Switzerland,2009,17.247278
Switzerland,2010,17.384097
Switzerland,2011,17.425165
Switzerland,2012,17.242838
Switzerland,2013,17.352495
Switzerland,2014,16.985787
Switzerland,2015,16.95301
Switzerland,2016,17.214222
Switzerland,2017,17.242928
Switzerland,2018,17.379294
Switzerland,2019,17.489646
Switzerland,2020,17.803104
Switzerland,2021,18.234247
Switzerland,2022,18.518134
Türkiye,2000,28.734191
Türkiye,2001,30.915942
Türkiye,2002,30.119256
Türkiye,2003,29.766749
Türkiye,2004,30.450849
Türkiye,2005,30.503031
Türkiye,2006,30.362864
Türkiye,2007,29.796471
Türkiye,2008,26.313136
Türkiye,2009,26.300749
Türkiye,2010,26.579339
Türkiye,2011,26.637826
Türkiye,2012,26.753433
Türkiye,2013,27.021219
Türkiye,2014,27.251305
Türkiye,2015,27.368503
Türkiye,2016,27.433202
Türkiye,2017,28.204641
Türkiye,2018,28.615442
Türkiye,2019,29.002596
Türkiye,2020,28.866131
Türkiye,2021,29.363237
Türkiye,2022,26.238421
United Kingdom,2000,25.808511
United Kingdom,2001,25.528367
United Kingdom,2002,25.635449
United Kingdom,2003,26.720047
United Kingdom,2004,26.831025
United Kingdom,2005,26.850531
United Kingdom,2006,26.887329
United Kingdom,2007,27.011621
United Kingdom,2008,25.585106
United Kingdom,2009,25.237369
United Kingdom,2010,25.3912
United Kingdom,2011,25.069859
United Kingdom,2012,24.732905
United Kingdom,2013,23.967054
United Kingdom,2014,23.586788
United Kingdom,2015,23.419201
United Kingdom,2016,23.463533
United Kingdom,2017,23.485995
United Kingdom,2018,23.468026
United Kingdom,2019,23.373896
United Kingdom,2020,22.894992
United Kingdom,2021,23.25514
United Kingdom,2022,23.640571
United States,2000,24.91023
United States,2001,24.825813
United States,2002,24.658386
United States,2003,24.417553
United States,2004,24.372431
United States,2005,24.271145
United States,2006,24.410309
United States,2007,24.841223
United States,2008,25.324972
United States,2009,24.172381
United States,2010,24.605264
United States,2011,23.636435
United States,2012,23.63798
United States,2013,25.453432
United States,2014,25.600062
United States,2015,25.631947
United States,2016,25.822957
United States,2017,26.099939
United States,2018,23.791327
United States,2019,23.879935
United States,2020,24.279443
United States,2021,24.662777
United States,2022,24.805149
Chile,2000,7.0
Chile,2001,7.0
Chile,2002,7.0
Chile,2003,7.0
Chile,2004,7.0
Chile,2005,7.0
Chile,2006,7.0
Chile,2007,7.0
Chile,2008,7.0
Chile,2009,7.0
Chile,2010,7.0
Chile,2011,7.0
Chile,2012,7.0
Chile,2013,7.0
Chile,2014,7.0
Chile,2015,7.0
Chile,2016,7.0
Chile,2017,7.0
Chile,2018,7.007974
Chile,2019,7.044768
Chile,2020,7.031917
Chile,2021,7.0
Chile,2022,7.0
Estonia,2000,21.941463
Estonia,2001,21.481993
Estonia,2002,22.68821
Estonia,2003,23.000293
Estonia,2004,21.860916
Estonia,2005,19.796496
Estonia,2006,18.730058
Estonia,2007,18.693093
Estonia,2008,17.866281
Estonia,2009,18.564575
Estonia,2010,19.480832
Estonia,2011,19.711999
Estonia,2012,19.914298
Estonia,2013,19.486888
Estonia,2014,19.638839
Estonia,2015,18.446673
Estonia,2016,18.372549
Estonia,2017,18.3984
Estonia,2018,14.595442
Estonia,2019,15.741024
Estonia,2020,16.134255
Estonia,2021,17.247251
Estonia,2022,18.388473
Israel,2000,26.104847
Israel,2001,27.253278
Israel,2002,27.037876
Israel,2003,23.365123
Israel,2004,22.082209
Israel,2005,21.250566
Israel,2006,20.282361
Israel,2007,21.218045
Israel,2008,19.275519
Israel,2009,17.705085
Israel,2010,17.005922
Israel,2011,17.047701
Israel,2012,16.637013
Israel,2013,16.373951
Israel,2014,17.006546
Israel,2015,17.510821
Israel,2016,17.943344
Israel,2017,17.714714
Israel,2018,17.647534
Israel,2019,18.069581
Israel,2020,18.383106
Israel,2021,19.00403
Israel,2022,19.122647
Slovenia,2000,35.555819
Slovenia,2001,35.438625
Slovenia,2002,35.329792
Slovenia,2003,35.441317
Slovenia,2004,35.587059
Slovenia,2005,34.715534
Slovenia,2006,34.844758
Slovenia,2007,32.849345
Slovenia,2008,33.051472
Slovenia,2009,32.939539
Slovenia,2010,33.288115
Slovenia,2011,33.413419
Slovenia,2012,33.245101
Slovenia,2013,33.094657
Slovenia,2014,33.248465
Slovenia,2015,33.327139
Slovenia,2016,33.458682
Slovenia,2017,33.715959
Slovenia,2018,34.067251
Slovenia,2019,34.378614
Slovenia,2020,33.994543
Slovenia,2021,34.45312
Slovenia,2022,33.586922
